,video_id,video_title,upload_date,view_count,like_count,comment_count
45,f9uZ0REjIjo,"The 12,020 Human SPACE Era Calendar 🚀",2019-11-03,1307490,61211,3032
46,5iPH-br_eJQ,What if We Nuke a City?,2019-10-13,19866339,724831,71028
47,cqECNYmM23A,The Billion Ant Mega Colony and the Biggest War on Earth,2019-09-29,14029442,419555,25895
48,PaErPyEnDvk,What’s Hiding at the Most Solitary Place on Earth? The Deep Sea,2019-09-15,17902533,540591,21953
49,h6fcK_fRYaI,The Egg - A Short Story,2019-09-01,24403566,1627884,172752
50,7_e0CA_nhaE,The World War of the Ants – The Army Ant,2019-08-11,16919810,514575,26016
51,BSypUV6QUNw,Tiny Bombs in your Blood - The Complement System,2019-07-28,9450136,411961,16268
52,FfgT6zx4k3Q,Could Your Phone Hurt You? Electromagnetic Pollution,2019-07-07,6588312,249079,13491
53,ouAccsTzlGU,Is Meat Bad for You? Is Meat Unhealthy?,2019-06-09,11230516,395408,37719
54,h4Uu5eyN6VU,Is the EU Democratic? Does Your Vote Matter?,2019-05-19,4776296,193328,20981
55,zBkVCpbNnkU,The Side Effects of Vaccines - How High is the Risk?,2019-05-12,14146582,631043,133534
56,p_8yK2kmxoo,The Most Dangerous Stuff in the Universe - Strange Stars Explained,2019-04-14,17531683,443318,21514
57,JyECrGp-Sw8,What If We Detonated All Nuclear Bombs at Once?,2019-03-31,24436285,969669,50826
58,H6u0VBqNBQ8,The Origin of Consciousness – How Unaware Things Became Aware,2019-03-17,13482401,428526,23270
59,JtUAAXe_0VI,Can You Trust Kurzgesagt Videos?,2019-03-03,6520019,522412,32593
60,n3Xv_g3g-mA,Loneliness,2019-02-17,20929818,1022847,72640
61,uqKGREZs6-w,Building a Marsbase is a Horrible Idea: Let’s do it!,2019-02-03,16458943,399744,26144
62,8PmM6SUn7Es,Is Organic Really Better? Healthy Food or Trendy Scam?,2019-01-13,9924341,318442,20503
63,M7CkdB5z9PY,Aliens under the Ice – Life on Rogue Planets,2018-12-27,12037093,324179,11257
64,pP44EPBMb8A,How to Build a Dyson Sphere - The Ultimate Megastructure,2018-12-20,17905153,514051,39032
65,yS1ibDImAYU,End of Space – Creating a Prison for Humanity,2018-11-25,12140832,334333,18525
66,FaB41TtgS54,"The 12,019 Calendar IS HERE – A new calendar for humanity",2018-10-30,1348400,52030,3356
67,-O5kNPlUV7w,Why Beautiful Things Make us Happy – Beauty Explained,2018-10-23,8014700,339720,13315
68,NxvQPzrg2Wg,Why Meat is the Best Worst Thing in the World 🍔,2018-09-30,11397605,452993,78257
69,NtQkz0aRDe8,How We Could Build a Moon Base TODAY – Space Colonization 1,2018-09-16,13303422,361313,32175
70,9P6rdqiybaw,Wormholes Explained – Breaking Spacetime,2018-08-12,19829573,485104,23358
71,9tbxDgcv74c,What If You Detonated a Nuclear Bomb In The Marianas Trench? (Science not Fantasy),2018-07-22,29426219,648527,29072
72,RS7IzU2VJIQ,Plastic Pollution: How Humans are Turning the World into Plastic,2018-07-01,8121328,268478,14682
73,kP15q815Saw,3 Arguments Why Marijuana Should Stay Illegal Reviewed,2018-06-10,13776519,566799,64050
74,YI3tsmFsrOg,The Deadliest Being on Planet Earth – The Bacteriophage,2018-05-13,28190208,728730,52676
75,ulCdoCfw-bY,The Black Hole Bomb and Black Hole Civilizations,2018-04-22,23694405,538733,25983
76,5TbUxGZtwGI,Time: The History &amp; Future of Everything – Remastered,2018-04-08,8972945,350433,20369
77,rvskMHn0sqQ,A Selfish Argument for Making the World a Better Place – Egoistic Altruism,2018-03-18,10020223,394669,26282
78,Da-2h2B4faU,String Theory Explained – What is The True Nature of Reality?,2018-03-01,20419167,595750,22051
